City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
289,Kailua,US,2020-07-10 14:50:31,21.4,-157.74,77.0,78,90,8.05
290,Saint Paul,US,2020-07-10 14:49:50,44.94,-93.09,77.0,64,1,6.93
291,Jardim,BR,2020-07-10 14:50:31,-21.48,-56.14,77.43,49,88,8.23
292,Chalmette,US,2020-07-10 14:46:32,29.94,-89.96,87.01,74,75,6.93
293,Chernyshevskiy,RU,2020-07-10 14:50:32,63.01,112.47,58.46,99,72,3.44
294,Airai,TL,2020-07-10 14:50:32,-8.93,125.41,57.0,100,17,3.91
295,Baherden,TM,2020-07-10 14:50:32,38.44,57.43,100.22,16,11,16.31
296,Aripuana,BR,2020-07-10 14:48:02,-9.17,-60.63,89.26,36,9,4.47
297,Valparaiso,CL,2020-07-10 14:48:31,-33.04,-71.63,50.0,87,81,3.36
298,Sao Joao Da Barra,BR,2020-07-10 14:50:33,-21.64,-41.05,73.4,64,75,13.87
299,Amot,NO,2020-07-10 14:50:33,59.57,7.99,60.8,63,40,4.7
300,Haputale,LK,2020-07-10 14:50:33,6.77,80.96,82.4,88,40,10.29
301,Broken Hill,AU,2020-07-10 14:50:33,-31.95,141.43,51.8,53,9,8.05
302,Yairipok,IN,2020-07-10 14:50:33,24.67,94.07,71.65,95,100,1.41
